"","male","white","black","hispanic","mompro2","poppro2","siblings","norest96","norcen96","south96","west96","height81","height85","esteem80","athlets","wage96","hgc96","daded79","momed79","age","clubnum"
"8366",0,1,0,0,0,0,3,NA,NA,NA,NA,62,64,22,0,NA,NA,11,12,NA,0
"8367",0,0,0,1,0,0,2,0,0,0,1,59,58,20,1,NA,12,NA,NA,NA,0
"8368",1,0,0,1,0,1,2,0,0,0,1,72,73,20,1,11.057692527771,13,12,12,36,1
"8369",1,1,0,0,0,1,1,NA,NA,NA,NA,69,NA,25,NA,NA,NA,12,12,NA,NA
"8370",1,1,0,0,0,0,8,NA,NA,NA,NA,76,76,25,1,NA,NA,12,NA,NA,0
"8371",0,1,0,0,0,1,3,NA,NA,NA,NA,68,NA,25,1,NA,NA,11,10,NA,1
"8372",0,1,0,0,1,1,2,NA,NA,NA,NA,68,68,22,0,NA,NA,17,NA,NA,3
"8373",0,1,0,0,0,1,3,NA,NA,NA,NA,69,69,22,0,NA,NA,12,NA,NA,0
"8374",0,0,0,1,0,0,5,0,0,0,1,62,61,24,1,4.08163261413574,13,3,6,33,0
"8375",0,0,0,1,0,0,4,0,0,0,1,65,65,21,1,NA,12,7,5,39,0
"8376",0,0,0,1,0,0,4,0,0,0,1,63,63,24,0,NA,12,5,8,36,1
"8377",0,0,0,1,0,0,4,0,0,0,1,63,61,18,0,NA,11,8,10,35,0
"8378",1,0,0,1,0,0,4,0,0,0,1,77,76,19,0,NA,11,5,8,31,0
"8379",1,0,0,1,0,0,7,0,0,0,1,72,72,21,1,13.2867136001587,16,6,6,34,0
"8380",1,0,0,1,0,1,7,NA,NA,NA,NA,69,70,21,0,NA,NA,6,6,NA,0
"8381",1,0,0,1,0,1,1,0,0,0,1,68,69,24,1,13.0268201828003,12,18,14,34,0
"8382",1,0,0,1,0,0,3,0,0,0,1,72,72,27,0,11.5384616851807,14,14,12,32,0
"8383",0,0,0,1,0,0,2,0,0,0,1,62,62,21,0,NA,12,8,12,35,0
"8384",1,0,1,0,1,0,2,0,0,0,1,65,67,22,0,11.057692527771,12,12,12,34,0
"8385",0,0,1,0,1,0,2,0,0,0,1,61,61,24,1,NA,10,NA,10,35,1
"8386",1,0,0,1,0,0,5,0,0,0,1,68,67,28,1,NA,13,12,12,38,1
"8387",0,0,0,1,0,0,6,0,0,0,1,65,66,26,1,25.3012046813965,14,0,2,NA,1
"8388",1,0,0,1,0,0,4,0,0,0,1,68,67,21,0,10.638298034668,8,1,1,38,0
"8389",0,0,0,1,0,0,5,0,0,1,0,68,68,20,0,7.5961537361145,13,1,3,36,0
"8390",1,0,0,1,0,0,5,0,0,0,1,71,71,25,0,12.307692527771,14,1,3,33,0
"8391",0,0,0,1,0,0,7,0,0,0,1,64,65,21,0,11.3461542129517,12,4,4,38,0
"8392",1,0,0,1,0,0,7,0,0,0,1,70,69,27,0,13.2478628158569,15,4,4,35,0
